,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.notification.pip.user_left.plural,others have left the session,others have left the session,دیگر سیشن چھوڑ چکے ہیں,alții au părăsit sesiunea,دیگران جلسه را ترک کرده‌اند,d'autres ont quitté la session,अन्य लोग सत्र छोड़ चुके हैं,غادر آخرون الجلسة,ਹੋਰ ਲੋਕ ਸੈਸ਼ਨ ਛੱਡ ਚੁੱਕੇ ਹਨ,otros han abandonado la sesión,andere haben die Sitzung verlassen,他の人がセッションを退出しました,다른 사람들이 세션을 떠났습니다.,інші покинули сеанс,نور خلک له غونډې څخه وتلي دي,其他人已离开会议。
pie.broadcast.error.msg.publish_stream_error,Internal WebRTC error occured while publishing your stream. Kindly refresh your browser.,Internal WebRTC error occured while publishing your stream. Kindly refresh your browser.,آپ کے سلسلے کو شائع کرتے وقت اندرونی WebRTC کی خرابی پیش آئی۔ براہ کرم اپنا براؤزر ریفریش کریں۔,A apărut o eroare internă WebRTC în timpul publicării fluxului dvs. Vă rugăm să reîmprospătați browserul.,خطای داخلی WebRTC هنگام انتشار جریان شما رخ داد. لطفاً مرورگر خود را تازه‌سازی کنید.,Une erreur interne WebRTC s'est produite lors de la publication de votre flux. Veuillez actualiser votre navigateur.,आपकी स्ट्रीम प्रकाशित करते समय आंतरिक WebRTC त्रुटि हुई। कृपया अपने ब्राउज़र को रीफ्रेश करें।,حدث خطأ داخلي في WebRTC أثناء نشر البث الخاص بك. يرجى تحديث المتصفح.,ਤੁਹਾਡੀ ਸਟ੍ਰੀਮ ਪ੍ਰਕਾਸ਼ਿਤ ਕਰਦੇ ਸਮੇਂ ਅੰਦਰੂਨੀ WebRTC ਗਲਤੀ ਆਈ। ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਬ੍ਰਾਊਜ਼ਰ ਰੀਫ੍ਰੈਸ਼ ਕਰੋ।,"Ocurrió un error interno de WebRTC mientras se publicaba tu transmisión. Por favor, actualiza tu navegador.",Interner WebRTC-Fehler beim Veröffentlichen Ihres Streams aufgetreten. Bitte aktualisieren Sie Ihren Browser.,ストリームを公開中に内部WebRTCエラーが発生しました。ブラウザをリフレッシュしてください。,스트림을 게시하는 동안 내부 WebRTC 오류가 발생했습니다. 브라우저를 새로 고침하세요.,"Внутрішня помилка WebRTC сталася під час публікації вашого потоку. Будь ласка, оновіть ваш браузер.",د داخلي WebRTC تېروتنه ستاسو د جریان خپرولو پر مهال رامنځته شوه. مهرباني وکړئ خپل براوزر تازه کړئ.,发布您的流时发生内部 WebRTC 错误。请刷新您的浏览器。
pie.accessReq.screen.access,Screen share access,Screen share access,اسکرین شیئر کی رسائی,Acces la partajarea ecranului,دسترسی به اشتراک‌گذاری صفحه نمایش,Accès au partage d'écran,स्क्रीन शेयर एक्सेस,الوصول إلى مشاركة الشاشة,ਸਕ੍ਰੀਨ ਸਾਂਝਾ ਪਹੁੰਚ,Acceso para compartir pantalla,Bildschirmfreigabe-Zugriff,画面共有アクセス,화면 공유 권한,Доступ до спільного екрану,د سکرین شریکولو لاسرسی,屏幕共享访问
pie.viewmote.pleasewaitwhile,Please wait a while.,Please wait a while.,براہ کرم کچھ دیر انتظار کریں۔,Te rog să aștepți puțin.,لطفاً کمی صبر کنید.,Veuillez patienter un moment.,कृपया थोड़ी देर प्रतीक्षा करें।,يرجى الانتظار قليلاً.,ਕਿਰਪਾ ਕਰਕੇ ਕੁਝ ਸਮਾਂ ਉਡੀਕ ਕਰੋ।,Por favor espera un momento.,Bitte warten Sie einen Moment.,しばらくお待ちください。,잠시 기다려 주세요.,"Будь ласка, зачекайте трохи.",مهرباني وکړئ لږ انتظار وکړئ.,请稍等。
global.table.actions,Action,Action,عمل,Acțiune,اقدام,Action,क्रिया,الإجراء,ਕਾਰਵਾਈ,Acción,Aktion,アクション,작업,Дія,عمل,行动
pie.ticket.purchased.note,Course access expires on {{expiryDuration}},Course access expires on {{expiryDuration}},کورس کی رسائی {{expiryDuration}} پر ختم ہو رہی ہے,Accesul la curs expiră pe {{expiryDuration}}.,دسترسی به دوره در {{expiryDuration}} منقضی می‌شود.,L'accès au cours expire le {{expiryDuration}},कोर्स एक्सेस {{expiryDuration}} को समाप्त होता है,تنتهي صلاحية الوصول إلى الدورة في {{expiryDuration}},ਕੋਰਸ ਤੱਕ ਪਹੁੰਚ {{expiryDuration}} 'ਤੇ ਸਮਾਪਤ ਹੁੰਦੀ ਹੈ,El acceso al curso expira el {{expiryDuration}},Kurszugriff läuft ab am {{expiryDuration}},コースアクセスは{{expiryDuration}}に期限切れです,코스 액세스는 {{expiryDuration}}에 만료됩니다.,Доступ до курсу закінчується {{expiryDuration}},د کورس لاسرسی په {{expiryDuration}} پای ته رسېږي,课程访问权限将在{{expiryDuration}}过期。
pie.whiteboard.permission_changed_message,"Access permission for this Whiteboard has been changed. To continue, click Reload.","Access permission for this Whiteboard has been changed. To continue, click Reload.",اس وائٹ بورڈ کے لیے رسائی کی اجازت تبدیل کر دی گئی ہے۔ جاری رکھنے کے لیے، ری لوڈ پر کلک کریں۔,"Permisiunea de acces pentru această tablă albă a fost modificată. Pentru a continua, faceți clic pe Reîncarcă.",مجوز دسترسی به این وایت‌برد تغییر کرده است. برای ادامه، روی بارگذاری مجدد کلیک کنید.,"L'autorisation d'accès pour ce tableau blanc a été modifiée. Pour continuer, cliquez sur Recharger.","इस व्हाइटबोर्ड के लिए एक्सेस अनुमति बदल दी गई है। जारी रखने के लिए, रीलोड पर क्लिक करें।",تم تغيير إذن الوصول لهذا اللوح الأبيض. للمتابعة، انقر على إعادة تحميل.,"ਇਸ ਵ੍ਹਾਈਟਬੋਰਡ ਲਈ ਪਹੁੰਚ ਅਨੁਮਤੀ ਬਦਲੀ ਗਈ ਹੈ। ਜਾਰੀ ਰੱਖਣ ਲਈ, ਰੀਲੋਡ 'ਤੇ ਕਲਿੱਕ ਕਰੋ।","El permiso de acceso para esta Pizarra ha cambiado. Para continuar, haz clic en Recargar.","Die Zugriffsberechtigung für dieses Whiteboard wurde geändert. Um fortzufahren, klicken Sie auf Neu laden.",このホワイトボードのアクセス許可が変更されました。続行するには、リロードをクリックしてください。,이 화이트보드의 액세스 권한이 변경되었습니다. 계속하려면 새로 고침을 클릭하세요.,"Дозвіл на доступ до цієї дошки змінено. Щоб продовжити, натисніть Перезавантажити.",د دې سپینې بورډ لپاره د لاسرسي اجازه بدله شوې ده. د دوام لپاره، بیا تازه کلیک وکړئ.,此白板的访问权限已更改。要继续，请点击重新加载。
label.purchased,Purchased,Purchased,خریدا گیا,Achiziționat,خریداری شده,Acheté,खरीदा गया,تم الشراء,ਖਰੀਦਿਆ,Comprado,Gekauft,購入済み,구매됨,Придбано,پیرودل شوی,已购买
course.no.categories,No Categories Found,No Categories Found,کوئی زمرہ نہیں ملا,Nu au fost găsite categorii,دسته‌بندی‌ای یافت نشد,Aucune catégorie trouvée,कोई श्रेणियाँ नहीं मिलीं,لم يتم العثور على فئات,ਕੋਈ ਸ਼੍ਰੇਣੀਆਂ ਨਹੀਂ ਮਿਲੀਆਂ,No se encontraron categorías,Keine Kategorien gefunden,カテゴリが見つかりません,카테고리가 없습니다.,Категорії не знайдено,هیڅ کټګورۍ ونه موندل شوه,未找到类别
error.message.firstname,First Name should not be empty and it contain only alpha numberic value,First Name should not be empty and it contain only alpha numberic value,پہلا نام خالی نہیں ہونا چاہیے اور اس میں صرف حروفی عددی قدر ہونی چاہیے,Prenumele nu ar trebui să fie gol și ar trebui să conțină doar valori alfanumerice.,نام نباید خالی باشد و باید فقط شامل مقادیر الفبایی عددی باشد.,Le prénom ne doit pas être vide et ne doit contenir que des valeurs alphanumériques,पहला नाम खाली नहीं होना चाहिए और इसमें केवल अल्फा न्यूमेरिक मान होना चाहिए,يجب ألا يكون الاسم الأول فارغًا ويحتوي فقط على قيمة أبجدية رقمية,ਪਹਿਲਾ ਨਾਮ ਖਾਲੀ ਨਹੀਂ ਹੋਣਾ ਚਾਹੀਦਾ ਅਤੇ ਇਸ ਵਿੱਚ ਸਿਰਫ ਅੱਖਰੀ ਸੰਖਿਆਤਮਕ ਮੁੱਲ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ,El Nombre no debe estar vacío y debe contener solo valores alfanuméricos,Vorname sollte nicht leer sein und nur alphanumerische Werte enthalten,名前は空にできず、アルファベットと数字のみを含む必要があります,이름은 비어 있을 수 없으며 알파벳 숫자 값만 포함해야 합니다.,Ім'я не повинно бути порожнім і містити лише алфавітно-цифрові значення,لومړی نوم باید خالي نه وي او یوازې الفا عددي ارزښت ولري,名字不能为空，并且只能包含字母和数字。
global.nomoredata,No more data!,No more data!,مزید ڈیٹا نہیں!,Nu mai sunt date!,دیگر داده‌ای وجود ندارد!,Plus de données !,कोई और डेटा नहीं!,لا مزيد من البيانات!,ਹੋਰ ਡਾਟਾ ਨਹੀਂ!,¡No hay más datos!,Keine weiteren Daten!,これ以上のデータはありません！,더 이상 데이터가 없습니다!,Більше даних немає!,نور معلومات نشته!,没有更多数据！
pie.common.no_seat_left,No seats left,No seats left,کوئی نشست باقی نہیں,Nu mai sunt locuri disponibile,جایی باقی نمانده است,Plus de places disponibles,कोई सीटें नहीं बची हैं,لا توجد مقاعد متبقية,ਕੋਈ ਸੀਟ ਨਹੀਂ ਬਚੀ,No quedan asientos,Keine Plätze mehr verfügbar,残席なし,좌석이 없습니다.,Місць не залишилося,هیڅ څوکۍ پاتې نه دي,没有座位了
pie.broadcast.aud.spotlight.focusonvideo,You are spotlighted your video will be seen by other attendees.,You are spotlighted your video will be seen by other attendees.,آپ کو نمایاں کیا گیا ہے، آپ کی ویڈیو دیگر شرکاء کے ذریعہ دیکھی جائے گی۔,"Ești evidențiat, videoclipul tău va fi văzut de alți participanți.",ویدئوی شما در کانون توجه قرار گرفته و توسط سایر شرکت‌کنندگان دیده خواهد شد.,"Vous êtes mis en avant, votre vidéo sera vue par les autres participants.","आपको हाइलाइट किया गया है, आपका वीडियो अन्य प्रतिभागियों द्वारा देखा जाएगा।",أنت في دائرة الضوء، سيتم رؤية الفيديو الخاص بك من قبل المشاركين الآخرين.,ਤੁਹਾਨੂੰ ਸਪੌਟਲਾਈਟ ਕੀਤਾ ਗਿਆ ਹੈ ਤੁਹਾਡੀ ਵੀਡੀਓ ਹੋਰ ਹਾਜ਼ਰੀਨ ਦੁਆਰਾ ਵੇਖੀ ਜਾਵੇਗੀ।,"Estás destacado, tu video será visto por otros asistentes.","Sie sind im Spotlight, Ihr Video wird von anderen Teilnehmern gesehen.",あなたのビデオがスポットライトされ、他の参加者に表示されます。,비디오가 주목받고 있으며 다른 참석자들이 볼 수 있습니다.,"Ви у фокусі, ваше відео буде видно іншим учасникам.",تاسو په نښه شوي یاست، ستاسو ویډیو به نور ګډونوال وګوري.,你的视频被聚焦，其他与会者将会看到。
